메뉴 이름,메뉴 설명,재료,조리 과정
오리백숙 ,여름내 더위에 땀도 많이 흘리셨기에 지금 영양 보충을 해줘야 한겨울 추위도 거뜬히 이기고 지나갈 수 있겠지요,오리 1마리(2.4kg) 대파 1개 양파 1개 대추 10개 통마늘 20개 밤 10개 녹두 1컵 찹쌀 1컵,1. 통오리를 큰솥에 넣어 한번 끓여서 지저분한 불순물을 빼주고 맑은 물로 깨끗이 씻어주었어요.<br>2. 뱃속에 모든 재료를 넣어서 잘 오므려준 다음 큰솥에 넣어 끓여주었어요. <br>3. 찹쌀과 녹두는 씻어서 잠시 담가놓았어요<br>4. 푹 삶은 오리와 오리 삶은 물에 부추를 데쳐서 곁들였어요 <br>5. 오리 삶은 육수 조금 넣고 간장 다진 파 마늘 맛술 넣어 양념장을 만들었어요<br>6. 녹두와 찹쌀을 섞어 압력 전기밥솥에 끓였더니 차지고 맛납니다.
훈제오리볶음밥,오리고기의 불포화지방산은 피부건강에 좋은데요. 단백질도 풍부하여 영양보충으로 좋은 훈제오리볶음밥 만들었어요. ,"훈제오리슬라이스6개, 부추 1/2줌, 양파 1/2개, 감자 1/2개, 당근 1/4개, 밥 1공기<br>[양념] 다진마늘 1/2T, 굴소스 1T, 깨소금 1T, 맛소금 2꼬집","1. 모든재료는 다져주세요.<br>2. 후라이팬에 다진마늘 0.5T를 넣고 오리고기를 넣어 볶아줍니다. 마늘이 느끼한맛을 잡아줘 넉넉히 넣었는데 마늘향이 싫으신분들은 조금만 넣으세요. <br>3. 식용유를 따로 두르지 않아도 오리에서 기름이 충분히 나온답니다. <br>4. 오리가 노릇노릇 볶아지면 다져준 양파, 당근, 감자를 넣고 볶아주세요. <br>5. 채소가 익으면 밥한공기, 부추, 굴소스 1T를 넣고 골고루 섞어가며 다시한번 볶아줍니다."
오리탕,몸에 좋은 영양만점 오리탕,"오리 1마리, 미나리<br>[양념] 소주 2T, 된장 2T, 고추가루 3T, 다진마늘 1T, 국간장 1T, 들깨가루 4T",1. 소주 2T를 넣어 오리를 살짝 삶아주세요. 기름기를 빼는 정도라고 생각하시면 됩니다. <br>2. 약간 삶아지면 불을 끄고 끓여진 물을 다 버려주세요 <br>3. 기름이 베인 냄비는 깨끗하게 씻어 다시 오리를 푹 삶아주세요. <br>4. 분량의 양념을 넣어주세요 .<br>5. 미나리는 뿌리부분 다 잘라내고 깨끗하게 씻어 먹기좋은 크기로 잘라 물기 빠지게 채에 받쳐놔주세요 <br>6. 양파와 청양고추도 썰어서 준비해주세요 <br>7. 팍 삶아졌다 싶으면 불을 꺼주세요 <br>8. 미나리를 넣어 잠시 뚜껑을 닫아놨다가 드시면 됩니다
오리고추장불고기,고추장으로 맛낸 오리불고기,"오리고기 500g, 양파 1개, 느타리버섯 1줌 <br>[양념] 고추장 3T, 간장 2T, 굴소스 1T, 고춧가루 2T, 다진마늘 1T, 설탕 1T, 올리고당 1T, 맛술 1T, 후추 톡톡 5번, 소금 1꼬집","1. 분량의 재료를 모두 넣어 양념장을 만들어줍니다. <br>2. 양파와 느타리버섯은 채썰듯 해줍니다. <br>3. 볼에 양파,버섯,오리고기,양념장을 넣고 잘 섞어준뒤 30분이상 재워둡니다. <br>4. 팬에 양념오리고기를 넣고 중불로 익혀줍니다. <br>5. 마지막에 간을보아 부족한 간은 소금으로 해주어 완성. 저는 소금 한꼬집 넣었습니다."
오미자청 ,"오미자는 따스하게 마셔도 좋고 특히, 여름에 시원하게 마시면 아주 좋아요. <br>감기에 좋은 오미자",오미자 1 설탕 1,1. 깨끗하게 소독한 유리병에 설탕을 넣고 오미자를 넣어주세요.<br>2. 오미자와 설탕 켜켜히 넣어주시면 됩니다. 오미자: 설탕 비율은 1:1 <br>3. 날짜도 위에 표시를 해두구요. 일주일정도 지났을때 위아래 설탕이 잘 섞이도록 해주시면 좋습니다. 제일 위에 설탕을 부어주시구요.<br>4. 그늘진 곳에 100일정도 지나면 청이 된답니다.
오이볶음,오독오독 식감이 재미있는 오이볶음 만들었어요. 별로 어렵지 않게 만들 수 있는 반찬이면서 밥도둑 반찬,오이 2개 소금 1스푼 다진마늘 1스푼 참기름 1스푼 통깨 약간,1. 오이는 동글동글하고 조금 얇게 썰어서 소금 1스푼 넣고 30분 정도 절여요. 뻣뻣했던 오이가 소금에 절어서 부드러워져요.<br>2. 소금에 절인 오이는 물에 한번 씻어 소금기를 살짝 빼고 물기를 꼭 짭니다. <br>3. 식용유 두르고 다진마늘을 넣어 향을 내고 오이를 넣어 센불에서 단시간에 달달 볶아요.<br>4. 마지막에 참기름 1스푼 두르고 잘 섞어주면 끝.
오이초무침,입맛 없을때 상큼한 반찬으로 입맛 돋구고 시작하면 좋더라구요,"오이 1개, 양파 1/2개, 대파 1/2대<br>[양념장] 고춧가루 2T, 설탕 2T, 간장 1T, 식초 5T, 소금 0.5T",1. 오이는 동그랗게 썰고 양파는 채썰고 파는 송송 썰어 넣어요 <br>2. 고춧가루 두스푼 넣어요. 굵은 고춧가루 쓰세요.<br>3. 분량의 양념장 재료를 넣고 손으로 무쳐주세요. <br>4. 예쁘게 그릇에 담고 깨를 뿌리면 완성.
오이소박이,아삭한 오이소박이 하나 있음 밥 한공기 뚝딱 하게 되는데요. 요리초보도 실패없는 백주부님 오이소박이,"오이 4개, 양파 1개, 당근 1/3개, 부추 1줌, 물 800ml, 소금 4T<br> 
[양념] 멸치액젓 2T, 새우젓 1/3T, 고추가루 4T, 다진마늘 1T, 설탕 1T","1. 굵은 소금으로 깨끗이 씻은 오이는 한개당 4등분으로 잘라 주세요. 오이 아래쪽에 약 1cm정도 여유를 두고 십자 모양으로 잘라줍니다. <br>2. 물 800ml에 굵은 소금4스푼을 넣고 센불에서 팔팔 끓여 줍니다. <br>3. 오이에 팔팔 끓은 소금물을 부어 약 30분 정도 절여 주세요. 이렇게 뜨거운 물을 부어주면 오이가 아삭하답니다. 절이면서 한두번 뒤적뒤적 해주세요. <br>4. 오이가 절여지는 동안 부추,양파,당근을 썰어주세요. <br>5. 분량의 양념을 섞어 양념장을 만들어 주시구요. 손질한 부추,양파,당근을 넣고 가볍게 버무려 줍니다.<br>6. 절여진 오이는 체에 받쳐 물기를 제거해 준 뒤 방금 만든 양념장을 오이속으로 적당히 넣어주시면 끝입니다."
오이냉국,초간단으로 요리초보님들도 쉽게 따라 하실수 있는 새콤 입맛당기는 오이냉국,"오이 2개, 양파 1개, 땡초 4개, 물 750ml<br>[양념] 다진마늘 1.5T, 맛소금 1.5T, 식초 5T, 설탕 2.5T, 깨소금 1T","1. 오이는 깨끗히 씻어 감자칼로 겉만 살짝 벗기고 먹기좋게 채썰어 주세요.<br>2. 양파하나 채썰어 넣고,땡초4개 다져서 넣고,다진마늘 한스푼반 넣어서 맛소금 한스푼반, 설탕2.5스푼,식초5스푼 넣고 뒤척여 주세요.<br>3. 물은 오이가 잠길만큼만 (750ml정도)넣어주세요. <br>4. 얼음을 넣어가며 간을 맞추시고 깨소금 넣으면 끝입니다."
오이피클 ,시원하고 아삭한 오이피클 쉬운레시피,오이 3개 청양고추 3개 양파 1/2개 물 3컵 식초 2/3컵 설탕 2/3컵 소금 2큰술,1. 물 3컵에 설탕 2/3컵 식초 2/3컵 소금 2큰술을 넣고 끓여주세요. 한번 끓어오르면 식혀서 소스를 만들어줍니다.<br>2. 양파는 적당한 크기로 오이 모양이랑 비슷하게 썰어줍니다. 청양고추는 씨를 제거하고 길게 썰어줬어요. 양파와 청양고추를 넣지 않고 오이피클 만들어도 괜찮아요 <br>3. 오이는 소금한줌 쥐고 표면을 문질러 불순물을 제거해주세요. 물기를 제거한 오이는 양쪽 끝을 잘라내고 3등분으로 잘라주세요.<br>4. 3등분한 오이는 다시 4등분으로 잘라주고 오이속에 있는 씨을 제거해주세요. <br>5. 썰어둔 오이와 양파 청양고추는 소독한 유리병에 담아주고 식혀둔 소스를 부어주면 완성입니다. <br>6. 유리병에 담은 오이피클은 하루정도 실온에 숙성시킨다음 냉장고에 두고 드시면 됩니다. 오이에서 수분이 나오니 소스를 가득 채우지 않아도 돼요.
오징어간장조림 ,아이 반찬으로도 좋고 간단한 술안주로도 좋은 짭조름한 오징어 요리,생물오징어 1마리 슬라이스 마늘 1줌 간장 2큰술 올리고당 2-3큰술 미림 1큰술 후추 약간 통깨 약간,"1. 오징어는 흐르는 물에 깨끗이 씻은 뒤 껍질을 벗겨 칼집을 내주고 먹기 좋은 크기로 썰어주세요.<br>2. 간장 2 큰 술과 올리고당 2-3 큰 술, 미림 1 큰 술, 슬라이스 마늘 한 줌을 준비해요.<br>3. 중불로 예열한 팬에 식용유 1 큰 술을 넣고 슬라이스 마늘을 넣어 노릇하게 볶아주시고요.<br>4. 손질한 오징어도 넣고 잘 볶아주세요. <br>5. 이어서 양념을 넣고 휘리릭 볶아주시고요. <br>6. 잘 졸여지면 후추 약간과 통깨를 뿌려 마무리해주시면 돼요. 짭조름한 양념과 오징어의 감칠맛 그리고 식감까지 넘나 좋은 간단한 밑반찬, 오징어 간장조림."
오징어볶음,자박자박 국물 넉넉한 오징어볶음 만들기,"오징어 두마리 400g, 양파 1개, 대파 1대, 식용유 1숟가락, 물 1컵<br>[양념] 고추장 3.5숟가락, 청양 고춧가루 2숟가락, 고춧가루 2숟가락, 간장 2숟가락, 설탕 1숟가락, 물엿 1.5숟가락, 다진 마늘 1.5숟가락, 맛술 1숟가락, 후추 약간<br>[후첨양념] 참기름 1숟가락, 통깨 1숟가락",1. 제일 먼저 분량의 양념장을 만들어 숙성시켜요. 반나절 이상 숙성시킬수록 맛있어요. <br>2. 양파는 채썰고  대파는 송송 썰어요. <br>3. 오징어는 몸통 안쪽에 사선으로 칼집을 넣어 주고 반 갈라 굵직하게 썰어줍니다. 칼집을 내주면 간이 더 잘 배요. 다리도 먹기 좋게 잘라요.<br>4. 중강불로 달군 팬에 식용유1을 두르고 오징어와 양파를 넣어 볶아 주세요.<br>5. 오징어 겉이 하얗게 익으면 양념과 물 한 컵을 넣어 줍니다. <br>6. 한소끔 끓으면 대파를 넣고 간을 보세요. 청양고추 추가는 이 과정에서 진행하세요. 싱거우면 간장 단맛은 올리고당을 추가해요. 기호에 따라 물을 더 추가하셔도 됩니다.<br>7. 간을 맞추었다면 참기름과 통깨를 넣어 한번 더 섞어주면 완성입니다.
오징어장조림,단짠단짠 꼬들꼬들 오징어 밑반찬,"오징어 3마리<br> [양념] 물 1컵, 맛간장 1/2컵(맛간장이 없다면 간장 1/2컵), 올리고당 1/3컵, 후춧가루 약간, 물 1+1/2컵, 양파 1/4개, 청양고추 2개, 마늘 5개, 다시마 2~3장","1. 오징어는 깨끗이 씻어 손질해서 안쪽면에 칼집을 넣어 주세요. <br>2. 끓는물에 오징어를 살짝 데치고 먹기좋은 크기로 썰어주세요. <br>3. 냄비에 양념 재료를 넣고 10-20분정도 끓여 맛간장을 만들어 주세요. <br>4. 양파 등 채소들을 건져 내 주고, 올리고당 1/3컵을 넣어 주세요. <br>5. 여기에 데쳐 썰어놓은 오징어를 넣어주세요. <br>6. 20분정도 약불에서 졸여주면 완성."
오징어전,,오징어 몸통 1마리 부침가루 5큰술 물 60~80ml 계란 2개 당근 2cm정도 부추 적당히 식용유  청양고추  홍고추 ,"1. 오징어 껍질은 제거해주세요. 껍질표면을 굵은 소금으로 비빈 후 키친타월로 잡고 벗기면 쉽게 벗길수 있습니다.<br>2. 오징어를 잘게 다져주세요.<br>3. 당근은 5번 썰어 다져주세요. 부추는 너무 많지 않게 넣어주세요 (하지만 부추를 좀 더 넣으면 색이 훨씬 더 이쁘답니다) .<br>4. 다진 오징어에 다진 당근과 부추, 부침가루, 물을 넣고 반죽을 해주세요.<br>5. 계란을 풀어주세요<br>6. 예열된 팬에 반죽을 떼서 계란옷을 입힌 후 노릇하게 부쳐주세요. 중간불에 앞뒤로 골고루 잘 익혀주세요.<br>7. 케첩에 찍어먹어도 맛있고 양념간장을 만들어서 찍어먹어도 맛있습니다"
오징어 버터구이,"생오징어로 만든 버터구이. 어른들은 술안주로, 아이들은 간식으로 딱 좋습니다~",오징어 2마리 간장 1T 올리고당 1T 설탕 1T 소금 1/4t 버터 2T 후추 약간 파슬리가루 약간,"1. 오징어는 내장을 제거한 후 깨끗하게 씻어요. 그런 후 통으로 썰어줍니다.<br>2. 프라이팬에 기름 살짝 두르고.오징어를 먼저 볶아서 익혀요. <br>3. 오징어가 살짝 익어갈 무렵 불을 끄고.올리고당, 간장, 소금, 설탕을 넣고 골고루 섞어줘요. 소금은 입맛에 따라 가감하세요. <br>4. 마지막으로 버터랑 후추. 파슬리 가루 살짝 넣고. 가스 불을 켜고 다시 볶아요.<br>5. 프라이팬에 겉도는 양념이나 수분이 없을 때까지 볶아주면 완성."
오징어핫바,수제어묵만들기,"오징어몸통 2마리, 대파 1/2뿌리, 당근 1/2개, 양파 1/2개, 청양고추 2개, 계란 1개<br>[양념] 후추 약간, 소금 1/2티스푼, 부침가루 3큰술, 케첩 취향껏, 머스타드 취향껏","1. 오징어 두 마리 몸통을 깨끗이 씻어서 껍질을 벗겨주세요. <br>2. 믹서기에 갈 때 걸리지 않게 작게 썰고 믹서기에 넣고 갈아주세요.<br>3. 대파 1/2뿌리, 당근 1/2개, 양파 1/2개, 청양고추 2개를 작게 썰어주세요. 매콤한게 싫으시다면 청양고추는 빼주세요. <br>4. 양푼에 간 오징어를 넣고 썰어 놓은 채소를 다 넣고 후추 약간, 소금 1/2티스푼 넣고 부침가루 3큰술, 계란 1개를 넣고 잘 섞어주세요.<br>5. 냄비에 기름을 가득 넣고 끓여주세요. 쎈불로 끓여놓은 다음 끓으면 중불로 낮춰주세요.<br>6. 칼이나 주걱 같은데에 섞은 어묵을 넣고 조금씩 밀어넣어서 튀겨주시면 됩니다. 앞 뒤로 잘 돌려서 익혀주시면 돼요<br>7.  노릇노릇 튀겨지고 건지면 끝."
통오징어구이,,"오징어 3마리<br>[양념] 고추장 3, 고춧가루 2, 간장 2, 올리고당 3, 다진 마늘 1, 후춧가루 약간, 다진 청양고추 1",1. 오징어 몸통과 다리부분이 연결된 부분을 살짝 살짝 들어 떼어주고 다리부분을 쭉 잡아 당기면 내장까지 쏙 빠진답니다. 눈은 조심스럽게 눌러주어 두개다 빼내주고 다리 아랫부분 입을 손톱으로 살짝 밀어내어 입도 빼내줍니다. 몸통 안쪽에 있는 뼈와 이물질을 깨끗이 씻어주면 손질 끝.<br>2. 오징어 몸통에 가위집을 양쪽으로 내어 줍니다. <br>3. 분량의 양념장을 넣어 섞어주세요. 손질해둔 오징어에 양념을 넣고 버무려 줍니다. <br>4. 프라이팬에 식용유를 두르고 오징어를 올려서 약불에서 구워주세요.
오징어순대,김이 모락모락날때 한입먹으면 넘넘 맛있어요,"오징어(중) 2마리, 다진고기2큰술, 으깬두부 1/2모, 다진표고버섯 1큰술, 밀가루 2큰술, 달걀 1개, 다진쪽파 1큰술, 다진당근 2큰술 <br>[양념] 간장 2큰술, 설탕 1큰술, 다진마늘 1큰술, 후춧가루 1/3작은술, 소금 1큰술, 참기름 1큰술","1. 오징어 몸통은 내장을 빼 깨끗하게 씻어두고, 다리는 다져서 소와 합치도록 준비해주세요. <br>2. 야채는 잘게 다져서 준비해줍니다. <br>3. 두부는 으깨서 거즈에 담아 물기를 꼭 짠 다음 분량의 양념재료와 함께 버무린다. <br>4. 오징어 몸통 안쪽에 밀가루를 고루묻힌 다음, 소를 2/3만 집어넣고 입구에 꼬치를 꽂는다. <br>5. 김이 오른 찜기에 오징어를 넣고 뚜껑을 덮어 15~20분간 찐다음 썰어 접시에 담아낸다."
오징어튀김,"맥주 안주로도, 간식으로도 정말 좋은 바삭바삭 고소한 오징어튀김입니다","오징어, 빵가루, 생강술, 밀가루, 달걀, 후추, 소금 ","1. 오징어는 껍질을 벗긴 링오징어로 준비했어요. 생강술(후추)을 뿌려서 잠시 재워둡니다.<br>2. 시판 건조 빵가루에 물을 조금씩 넣어가며 젓가락으로 저어 빵가루들끼리 조금씩 뭉쳐지려고 할때까지 촉촉한 상태로 만들어 줍니다. 이렇게 해줘야 튀겼을때 훨씬 더 식감이 바삭바삭해요. 파슬리가루도 조금 넣었어요.<br>3. 위생백에 오징어를 담고 이때 소금을 약간만 넣은후에 밀가루, 계란을 넣어서 조물조물해줍니다.<br>4. 마지막에 빵가루를 꾹꾹 눌러가며 골고루 옷을 입혀주면 준비 완료. <br>5. 기름 퐁당 노릇하게 튀겨주면 바삭바삭한 오징어튀김 완성"
오징어파전,,"부침 가루 4큰술, 튀김가루 2큰술, 오징어 1마리, 잔파 1줌, 달걀 1개, 소금 약간, 물 약간","1. 부침 가루 4큰술, 튀김가루 2큰술, 달걀 1개 물 3숟가락 정도를 붓고 걸쭉하게 반죽을 한다. <br>2. 오징어는 해동하여 그대로 채를 썰어둔다. <br>3. 프라이팬을 달궈 식용유를 두르고 손질한 쪽파를 가지런히 놓는다. <br>4. 반죽을 3큰술 정도 올리고 썰어둔 오징어를 올린다. <br>5. 오징어 위에 쪽파를 또 올리고 약간의 반죽을 뿌려 바삭하게 익힌 후 
뒤집어준다. <br>6. 담을 때는 접시를 전에 갖다 대고 담아주면 완성"
완두콩국수,완두콩으로 만든 콩국수 색다른 별미입니다.,복분자국수(or일반면)3 완두 2~2.5컵반 물 4컵 소금 약간 통깨 1큰술 볶은땅콩 2큰술 소금 약간,"1. 완두는 까서 씻고 냄비에 물을 붓고 소금 한꼬집 넣고 데치듯이 삶아요. <br>2. 통깨, 삶은완두,땅콩2큰술 , 콩 삶았던 물 3컵 붓고 믹서기에서 갈아 줍니다. 소금을 조금 넣어 갈아주세요. <br>3. 국수를 삶아 줍니다. <br>4. 삶은 국수는 찬물에 씻어 물기를 빼둡니다. <br>5. 국수그릇에 국수 담고 콩국물 붓고, 오이채, 방울토마토를 고명으로 올려줍니다."
완두앙금,빵만들 때 사용하는 완두 앙금 집에서 직접 만들기,완두콩 1kg 설탕 200g 소금 약간,1. 완두콩은 깨끗하게 씻어 손으로 눌렀을 때 쉽게 으깨질 정도로 푹 삶아 주세요. <br>2. 푹 삶은 완두콩은 물을 조금씩 부어가며 주걱 등을 이용해 체에 내려 주세요. <br>3. 물과 함께 체에 내린 완두콩은 앙금이 가라 앉도록 30분 정도 기다려 주세요. <br>4. 위에 뜬 맑은 물은 조심해서 따라 내고 고운 면보에 남은 앙금을 조금씩 부어 물기를 꼭 짜주세요. <br>5. 물기를 꼭 짠 앙금에 설탕과 약간의 소금을 넣고 약불 위에 올려 설탕이 다 녹을 때까지 섞어 주면 완성. 
완두배기,색감이 이쁘고 달달해 빵이나 떡 만들때 속재료나 고명으로 많이 사용하게 되는 완두배기입니다.,"껍질깐 완두콩 300g, 물 170g, 소금 , 설탕 70g",1. 껍질벗긴 완두콩은 끓는물에 소금 한숟갈을 넣고 10분정도 삶아주세요. <br>2. 잘 삶아진 완두콩은 찬물에 헹구어 물기를 빼두시구요. <br>3. 두께감이 있는 팬에 분량의 설탕과 물을 담아 센불에서 설탕물이 끓기 시작하면 삶은 완두콩을 넣고 중약불에서 천천히 조려주세요. 주걱으로 가끔 뒤적이며 졸여주심 좋아요. <br>4. 설탕물이 완두콩에 베어들어 자작자작해졌어요. 취향껏 설탕물이 조금 자작해도 되지만 저는 바짝 조려주었습니다. <br>5. 윤기 빤질빤질하고 달콤달콤한 완두배기가 완성되었어요.
완두콩수프,,"완두콩(통조림) 1컵, 양파 20g, 밀가루 1큰술, 버터 1/2큰술, 생크림 1컵, 물 3컵, 월계수 잎(약간), 소금(약간), 후춧가루(약간)","1. 완두콩은 물기를 빼고 양파는 채썬다.<br>2. 냄비에 버터를 넣고 녹으면 밀가루를 넣고 볶아서 루를 만든다.<br>3. 냄비에 양파를 넣고 볶다가 완두콩을 넣어 볶은 후, 물 2컵과 월계수잎을 넣어 끓인다.<br>4. 완두콩이 익으면 월계수잎을 건져내고 물 1컵을 부어 곱게 간다. 생크림을 넣고 루를 넣어 풀어준 후 소금과 후춧가루로 간을 한다."
완두콩리조토,완두콩을 넣은 리조토,"베이컨 2쪽, 완두콩 200g, 쌀 240g, 이탈리아파슬리 2줄기, 파르메산치즈가루 1컵, 버터 50g, 양파 80g, 비프 또는 닭 육수800㎖, 소금, 후추","1. 베이컨과 양파를 잘게 썰고, 파슬리는 곱게 다진다.<br>2. 완두콩은 끓는 물에 소금을 넣고 살짝 삶는다. <br>3. 팬에 버터 2큰술과 베이컨, 양파, 파슬리 1/2을 차례로 넣어 윤기나게 볶다가 완두콩과 육수 1컵을 넣고 5분 정도 익힌다.<br>4. 쌀을 넣고 뜨거운 육수를 1컵씩 넣으며 팬을 앞뒤로 흔들면서 볶다가 수분이 증발되면 다시 육수를 넣고 볶기를 20분 정도 반복한다.<br>5. 쌀이 다 익으면 육수로 농도를 맞춘 뒤 소금과 후추로 간하고 남은 버터와 파르메산치즈 2/3컵을 섞어 접시에 담고 남은 치즈와 파슬리를 뿌려 제공한다."
우렁강된장,구수한 우렁강된장입니다.,"우렁 100g, 표고버섯 3개, 양파 30g, 호박 30g, 홍고추 1개, 청고추 1개, 쌀뜨물 1/2컵, 대파 1/2대<br>[우렁밑간] 맛술 1큰술, 참기름 1작은술, 후추 약간","1. 표고버섯은 밑둥을 제거하고 잘게 썰어줍니다. 양파,호박도 작은깍뚝썰기해주시고 홍고추,청고추는 슬라이스해주세요. <br>2. 우렁은 끓는물에 살짝데친후에 볼에다 밑간 양념을 넣고 섞어주세요. <br>3. 강된장을 양념을 넣고 모두 섞어주시고 뚝배기에 참기름을 넣고 야채를 볶다가 우렁,강된장양념을 넣고 5분정도 볶아주세요.<br>4. 쌀뜨물을 넣고 끓이다가 불을 끄고 홍고추,청고추,대파를 넣어주세요."
우렁쌈장 ,,"우렁이 300g, 양파 1/2개, 애호박 1/2개, 청양고추 2개, 당근 1/4개, 표고버섯 5개<br>[양념] 집된장 3스푼(밥숟가락), 고추장 1스푼, 다진마늘 2스푼, 설탕 1/2스푼, 맛술 1스푼, 생수 1/2컵, 참기름 약간",1. 우렁이는 끓는물에 살짝 데쳐서 깨끗이 씻어주시고 물기를 빼주세요.<br>2. 야채들은 깨끗이 씻어서 곱게 다져 주세요 .<br>3. 분량의 양념장을 골고루 섞어 주세요.<br>4. 달구어진 팬에 올리브유 넣은후 양파와 갈은마늘 부터 볶아주세요. 불이세면 양파가 눌어붙거나 탈수 있으니 중약불에서 볶아주세요 <br>5. 양파가 투명해지면 나머지 야채를 모두 넣으시고 중불에서 볶아 주세요.<br>6. 야채가 모두 볶아지면 된장양념 만들어 놓은것을 붓고 중약불에서 나무주걱으로 골고루 섞어 주세요.<br>7. 보글보글 끓으면 기다리던 주인공 우렁이를 넣으시고 중약불에서 국물이 거의 없을정도로 조리면 됩니다.<br>8. 우렁이된장쌈 보리밥에 비벼먹어도 꿀맛입니다.
깐풍우렁,"우렁이는 보통 찌개나 국에 넣어 요리하는데, 특유의 쫄깃한 식감을 이용해 고급스러운 깐풍우렁으로 재탄생 했습니다. 매콤달콤한 양념과 쫄깃한 우렁이 잘 어울리고 밥반찬이나 술안주, 간식으로도 손색이 없는 깐풍우렁 레시피를 소개 합니다.","논 우렁 100g, 건고추 1개, 대파 1/2대, 다진마늘 1.5T, 생강 1t, 흰자 1개, 녹말 1/3컵 <br>[깐풍우렁소스] 간장 2T, 맛술 1T, 설탕 1T, 참기름 1t, 식초 1t, 후추 약간","1. 우렁을 씻어 체반에 받쳐 물기를 빼줍니다. 소금 1/4t를 넣어 밑간해 줍니다.<br>2. 분량의 깐풍우렁 양념을 골고루 섞어 준비해주세요. <br>3. 분량의 마른고추는 굵게 다지고, 대파는 송송썰고, 마늘과 생강은 작게 다져 준비 해 줍니다.<br>4. 밑간한 우렁이를 흰자에 골고루 뭍힌 후, 녹말에 버무려서 튀길 준비를 합니다. <br>5. 170-175도 기름에 우렁을 튀겨주세요. 기름은 우렁이 잠길 정도면 충분 합니다. 튀김냄비가 없으면 후라이팬으로 조리 가능합니다.<br>6. 우렁이 크기가 작으면 2-3개씩 같이 튀겨도 잘 익습니다. <br>7. 그 사이 식용유 1T를 팬에 두르고 잘라둔 채소를 볶아주세요. <br>8. 만들어둔 깐풍양념을 넣고 1-3분 농도를 맞춰 졸여주세요. <br>9. 튀긴 우렁을 넣고 골고루 버무리면 매콤달콤 깐풍우렁 완성. "
우렁미역영양밥,우렁의 단백질과 칼슘으로 아이들의 성장기에 도움되며 산모에게 필요한 미역의 요오드 성분의 해산물로 우리 가정의 건강을 책임지는 영양밥 입니다. 조리법은 간편하지만 한끼식사로 손색없고 누구나 쉽게 만들수 있습니다.,우렁 30g 완두콩 10알 당근 1/2개 미역 20g 쌀 2컵 표고버섯 1개 양송이버섯 1개 마요네즈 1t 아몬드 30g 된장 1T 식용유 1t 참기름 1t,"1. 우렁은 소금물에 씻어 줍니다. <br>2. 쌀은 물에 미리 불려두어 물기를 빼줍니다. <br>3. 미역은 데쳐 색깔이 변하면 꺼내 찬물로 헹궈줍니다.<br>4. 완두콩은 끓는물에 소금을 넣어 새파랗게 데쳐줍니다. <br>5. 당근은 나무젓가락 두께로 2x4cm로 썰어준 뒤 굵직하게 채썰어 줍니다. 표고버섯은 기둥을 제거하고, 두꺼운 부분을 저며 채썰줍니다. 데친 미역은 3cm정도로 잘라 준비합니다. <br>6. 냄비에 참기름1t와 식용유1t를 넣고 미역 데친 것을 먼저 볶아준뒤, 우렁을 넣어 볶아줍니다. <br>7. 쌀 2컵을 넣고 볶다가 당근,표고,완두콩을 넣은뒤 볶아줍니다. <br>8. 물 2컵을 넣고 뚜껑을 닫아 센불에서 끓이다가 끓으면 중불로 4분정도 지어주고 약불로 줄여 뜸을 들여줍니다.<br>9. 쌀은 투명해질때까지 볶다가 물을 넣어주고 중간중간 끓으면 누룽지가 생기지 않도록 뒤집어줍니다.<br>10. 된장 1T, 물2T, 아몬드30g, 마요네즈 1t,양송이1개를 준비합니다. 양송이는 잘게 다져줍니다.<br>11. 팬에 잘게 다진 양송이를 먼저 볶다가, 된장, 마요네즈, 물을 섞어 농도를 낸 뒤, 마지막에 아몬드를 섞어 줍니다. 양념장의 농도는 너무 되직하게 하지 않아야 합니다."
